year;area;uf
2024;23;Tocantins
2024;436;Roraima
2024;325;Rondônia
2024;2.362,00;Pará
2024;1.264,00;Mato Grosso
2024;287;Maranhão
2024;0;Amapá
2024;1.143,00;Amazonas
2024;448;Acre
2023;3.299,00;Pará
2023;284;Roraima
2023;867;Rondônia
2023;32;Tocantins
2023;2.048,00;Mato Grosso
2023;306;Maranhão
2023;17;Amapá
2023;1.610,00;Amazonas
2023;601;Acre
2022;27;Tocantins
2022;279;Roraima
2022;1.480,00;Rondônia
2022;4.162,00;Pará
2022;1.927,00;Mato Grosso
2022;271;Maranhão
2022;840;Acre
2022;2.594,00;Amazonas
2022;14;Amapá
2021;37;Tocantins
2021;315;Roraima
2021;1.673,00;Rondônia
2021;5.238,00;Pará
2021;2.213,00;Mato Grosso
2021;350;Maranhão
2021;17;Amapá
2021;2.306,00;Amazonas
2021;889;Acre
2020;25;Tocantins
2020;297;Roraima
2020;1.273,00;Rondônia
2020;4.899,00;Pará
2020;1.779,00;Mato Grosso
2020;336;Maranhão
2020;24;Amapá
2020;1.512,00;Amazonas
2020;706;Acre
2019;32;Amapá
2019;590;Roraima
2019;1.257,00;Rondônia
2019;4.172,00;Pará
2019;1.702,00;Mato Grosso
2019;237;Maranhão
2019;23;Tocantins
2019;1.434,00;Amazonas
2019;682;Acre
2018;25;Tocantins
2018;195;Roraima
2018;1.316,00;Rondônia
2018;2.744,00;Pará
2018;1.490,00;Mato Grosso
2018;253;Maranhão
2018;24;Amapá
2018;1.045,00;Amazonas
2018;444;Acre
2017;31;Tocantins
2017;132;Roraima
2017;257;Acre
2017;2.433,00;Pará
2017;1.561,00;Mato Grosso
2017;265;Maranhão
2017;24;Amapá
2017;1.001,00;Amazonas
2017;1.243,00;Rondônia
2016;372;Acre
2016;202;Roraima
2016;1.376,00;Rondônia
2016;2.992,00;Pará
2016;1.489,00;Mato Grosso
2016;258;Maranhão
2016;17;Amapá
2016;1.129,00;Amazonas
2016;58;Tocantins
2015;57;Tocantins
2015;156;Roraima
2015;1.030,00;Rondônia
2015;2.153,00;Pará
2015;1.601,00;Mato Grosso
2015;209;Maranhão
2015;25;Amapá
2015;712;Amazonas
2015;264;Acre
2014;50;Tocantins
2014;219;Roraima
2014;684;Rondônia
2014;1.887,00;Pará
2014;1.075,00;Mato Grosso
2014;257;Maranhão
2014;31;Amapá
2014;500;Amazonas
2014;309;Acre
2013;74;Tocantins
2013;170;Roraima
2013;932;Rondônia
2013;2.346,00;Pará
2013;1.139,00;Mato Grosso
2013;403;Maranhão
2013;23;Amapá
2013;583;Amazonas
2013;221;Acre
2012;1.741,00;Pará
2012;124;Roraima
2012;773;Rondônia
2012;52;Tocantins
2012;757;Mato Grosso
2012;269;Maranhão
2012;27;Amapá
2012;523;Amazonas
2012;305;Acre
2011;1.120,00;Mato Grosso
2011;141;Roraima
2011;865;Rondônia
2011;3.008,00;Pará
2011;40;Tocantins
2011;396;Maranhão
2011;66;Amapá
2011;502;Amazonas
2011;280;Acre
2010;49;Tocantins
2010;256;Roraima
2010;435;Rondônia
2010;3.770,00;Pará
2010;871;Mato Grosso
2010;259;Acre
2010;53;Amapá
2010;595;Amazonas
2010;712;Maranhão
2009;61;Tocantins
2009;121;Roraima
2009;482;Rondônia
2009;4.281,00;Pará
2009;1.049,00;Mato Grosso
2009;828;Maranhão
2009;70;Amapá
2009;405;Amazonas
2009;167;Acre
2008;5.607,00;Pará
2008;574;Roraima
2008;1.136,00;Rondônia
2008;107;Tocantins
2008;3.258,00;Mato Grosso
2008;1.271,00;Maranhão
2008;100;Amapá
2008;604;Amazonas
2008;254;Acre
2007;39;Amapá
2007;309;Roraima
2007;1.611,00;Rondônia
2007;5.526,00;Pará
2007;2.678,00;Mato Grosso
2007;631;Maranhão
2007;63;Tocantins
2007;610;Amazonas
2007;184;Acre
2006;124;Tocantins
2006;231;Roraima
2006;2.049,00;Rondônia
2006;5.659,00;Pará
2006;4.333,00;Mato Grosso
2006;674;Maranhão
2006;30;Amapá
2006;788;Amazonas
2006;398;Acre
2005;271;Tocantins
2005;133;Roraima
2005;592;Acre
2005;5.899,00;Pará
2005;7.145,00;Mato Grosso
2005;922;Maranhão
2005;33;Amapá
2005;775;Amazonas
2005;3.244,00;Rondônia
2004;158;Tocantins
2004;311;Roraima
2004;3.858,00;Rondônia
2004;8.870,00;Pará
2004;11.814,00;Mato Grosso
2004;728;Acre
2004;46;Amapá
2004;1.232,00;Amazonas
2004;755;Maranhão
2003;156;Tocantins
2003;439;Roraima
2003;3.597,00;Rondônia
2003;7.145,00;Pará
2003;10.405,00;Mato Grosso
2003;993;Maranhão
2003;25;Amapá
2003;1.558,00;Amazonas
2003;1.078,00;Acre
2002;7.510,00;Pará
2002;84;Roraima
2002;3.099,00;Rondônia
2002;212;Tocantins
2002;7.892,00;Mato Grosso
2002;1.085,00;Maranhão
2002;0;Amapá
2002;885;Amazonas
2002;883;Acre
2001;189;Tocantins
2001;345;Roraima
2001;2.673,00;Rondônia
2001;5.237,00;Pará
2001;419;Acre
2001;958;Maranhão
2001;7;Amapá
2001;634;Amazonas
2001;7.703,00;Mato Grosso
2000;244;Tocantins
2000;253;Roraima
2000;2.465,00;Rondônia
